公交线路编号,公交线路,站点序号,站点编号,站点名称,站点经度,站点维度
1,1路,1,11,四惠枢纽站 ,116.5027841,39.91309207
1,1路,2,12,八王坟西 ,116.4133837,39.91092455
1,1路,3,13,郎家园,116.4729916,39.91221366
1,1路,4,14,大北窑东,116.4133837,39.91092455
1,1路,5,15,大北窑西 ,116.4133837,39.91092455
1,1路,6,16,永安里路口西 ,116.2389319,40.21711932
1,1路,7,17,日坛路,116.4527672,39.92034741
1,1路,8,18,北京站口东,116.4335473,39.90946234
1,1路,9,19,东单路口西,115.9435485,39.95343898
1,1路,10,110,天安门东,116.4133837,39.91092455
1,1路,11,111,天安门西,116.4832118,39.98584045
1,1路,12,112,西单路口东,116.4133837,39.91092455
1,1路,13,113,复兴门内,116.4133837,39.91092455
1,1路,14,114,南礼士路,116.346358,39.91250308
1,1路,15,115,工会大楼,116.351447,39.91261709
1,1路,16,116,木樨地西,116.3443408,39.91097968
1,1路,17,117,军事博物馆,116.3302074,39.91497575
1,1路,18,118,公主坟,116.206743,40.00491007
1,1路,19,119,翠微路口,116.3086207,39.92063059
1,1路,20,120,万寿路口,116.3015014,39.91420312
1,1路,21,121,东翠路口,116.2944427,39.91556202
1,1路,22,122,沙沟路口西,115.9435485,39.95343898
1,1路,23,123,五棵松桥东,116.2817918,39.91466273
1,1路,24,124,永定路口东,116.2710955,39.91934636
1,1路,25,125,玉泉路口西,116.2595064,39.92852094
1,1路,26,126,八宝山,116.2430464,39.90731269
1,1路,27,127,地铁八宝山站,116.1943731,39.92711284
1,1路,28,128,老山南路东口,116.2401304,39.91811959
1,1路,29,129,老山公交场站,116.2384337,39.92210169
52,52路,1,521,靛厂新村,116.291426,39.89329876
52,52路,2,522,靛厂村,116.2903814,39.89111801
52,52路,3,523,莲宝路口东,116.3035985,39.89583378
52,52路,4,524,马官营西,116.3049495,39.89068565
52,52路,5,525,马官营,116.3049495,39.89068565
52,52路,6,526,六里桥北,116.3171788,39.89055085
52,52路,7,527,公主坟南,116.206743,40.00491007
52,52路,8,528,公主坟东,116.206743,40.00491007
52,52路,9,529,军事博物馆,116.3302074,39.91497575
52,52路,10,5210,木樨地东,116.3443408,39.91097968
52,52路,11,5211,工会大楼,116.351447,39.91261709
52,52路,12,5212,南礼士路,116.346358,39.91250308
52,52路,13,5213,复兴门内,116.4133837,39.91092455
52,52路,14,5214,民族文化宫,116.375341,39.91421405
52,52路,15,5215,西单路口东,116.4133837,39.91092455
52,52路,16,5216,天安门西,116.4832118,39.98584045
52,52路,17,5217,天安门东,116.4133837,39.91092455
52,52路,18,5218,王府井,116.4186675,39.92223159
52,52路,19,5219,东单路口东,116.4133837,39.91092455
52,52路,20,5220,北京站口东,116.4335473,39.90946234
52,52路,21,5221,北京站东街,116.4380902,39.9110104
52,52路,22,5222,广渠门,116.4499977,39.89858425
52,52路,23,5223,光明桥东,116.4133837,39.91092455
52,52路,24,5224,劲松中街,116.4628479,39.89037736
52,52路,25,5225,劲松桥东,116.4679598,39.89002
52,52路,26,5226,南磨房,116.4899492,39.88578274
52,52路,27,5227,平乐园,116.3499579,40.22751853
64,运通64,1,641,公主坟西,116.206743,40.00491007
64,运通64,2,642,翠微路口,116.3086207,39.92063059
64,运通64,3,643,万寿路口西,116.3015014,39.91420312
64,运通64,4,644,东翠路口,116.2944427,39.91556202
64,运通64,5,645,沙沟路口东,116.4133837,39.91092455
64,运通64,6,646,五棵松桥东,116.2817918,39.91466273
64,运通64,7,647,永定路口南,116.2710955,39.91934636
64,运通64,8,648,北太平路口南,116.270223,39.91004554
64,运通64,9,649,青塔桥北,116.2702814,39.90326324
64,运通64,10,6410,青塔桥南,116.2702814,39.90326324
64,运通64,11,6411,青塔蔚园,116.2691127,39.90031965
64,运通64,12,6412,青塔小区,116.2714388,39.89899055
821,821支线,1,8211,小周易村,116.5884293,39.73715562
821,821支线,2,8212,大周易村,116.5778257,39.75171412
821,821支线,3,8213,温馨家园,116.3934401,40.09306902
821,821支线,4,8214,温馨家园西站,116.3281345,39.90237964
821,821支线,5,8215,小白村,116.5546009,39.74537639
821,821支线,6,8216,马驹桥一号桥,116.5519824,39.75239409
821,821支线,7,8217,金桥北门,116.5753215,39.74389814
821,821支线,8,8218,通州第二医院,116.5560572,39.76131572
821,821支线,9,8219,凉水河桥南,116.4747246,39.8033157
821,821支线,10,82110,永昌南路南站亦庄线,116.5772701,39.81261081
821,821支线,11,82111,永昌南路,116.5353235,39.78761883
821,821支线,12,82112,隆盛产业园亦庄线,116.5291331,39.79222708
821,821支线,13,82113,锦绣街东站,116.530736,39.79348806
821,821支线,14,82114,同济中路,116.1943731,39.92711284
821,821支线,15,82115,同济中路北口,116.5322841,39.79819424
821,821支线,16,82116,同济北路南口,116.5205082,39.81257867
821,821支线,17,82117,同济北路,116.5205082,39.81257867
821,821支线,18,82118,万源街东站,116.5152877,39.81207583
821,821支线,19,82119,万源街西口亦庄线,116.5029196,39.81430379
821,821支线,20,82120,天华北街东口,116.5042104,39.80649671
821,821支线,21,82121,大雄城市花园,116.5008716,39.80725975
821,821支线,22,82122,新康家园,116.4954659,39.80607572
821,821支线,23,82123,贵园东里,116.4902472,39.80604515
821,821支线,24,82124,地铁亦庄桥站亦庄线,116.543424,39.77731912
821,821支线,25,82125,亦庄桥北,116.4782106,39.80726488
821,821支线,26,82126,三台山南,116.470815,39.8282141
821,821支线,27,82127,小红门路口北,116.4618707,39.82132404
821,821支线,28,82128,姚村,116.5578779,39.74448366
821,821支线,29,82129,肖村桥北亦庄线,116.4133837,39.91092455
821,821支线,30,82130,郭家村南,116.4509701,39.84514185
821,821支线,31,82131,郭家村,116.4509701,39.84514185
821,821支线,32,82132,地铁成寿寺站10号线,116.4458338,39.84787671
821,821支线,33,82133,成寿寺,116.4434604,39.85855293
821,821支线,34,82134,政法小区,116.4502514,39.86297382
821,821支线,35,82135,方庄桥南,116.4133837,39.91092455
821,821支线,36,82136,方庄桥西,116.4452069,39.86476281
821,821支线,37,82137,刘家窑桥东,116.4268035,39.8624436
821,821支线,38,82138,刘家窑桥北5号线,116.4133837,39.91092455
821,821支线,39,82139,蒲方路西口14号线东段5号线,116.4324708,39.87177613
821,821支线,40,82140,方庄环岛西,116.4340348,39.86759691
821,821支线,41,82141,方庄环岛南,116.4340348,39.86759691
821,821支线,42,82142,方庄南口,116.4340348,39.86759691
814,814路,1,8141,大北窑南10号线1号线八通线,116.4133837,39.91092455
814,814路,2,8142,潮白人家小区,116.3113932,40.08522983
814,814路,3,8143,交通干部管理学院,116.6687669,39.86859394
814,814路,4,8144,燕郊行宫大市场,116.454478,39.94012606
814,814路,5,8145,燕郊开发区,116.4133837,39.91092455
814,814路,6,8146,上上城四期,116.3405942,39.76259877
814,814路,7,8147,上上城二期,116.3405942,39.76259877
814,814路,8,8148,上上城五期,116.3405942,39.76259877
72,亦通72,1,721,城南嘉园北,116.3723796,39.83901785
72,亦通72,2,722,嘉园三里,116.3726937,39.84882244
72,亦通72,3,723,嘉园三里北,116.3726937,39.84882244
72,亦通72,4,724,嘉园二里南门,116.374245,39.85487806
72,亦通72,5,725,嘉园二里东门 ,116.374245,39.85487806
72,亦通72,6,726,马家堡小区 ,116.3809456,39.85965345
72,亦通72,7,727,角门北路,116.3849272,39.85218578
72,亦通72,8,728,角门北路东口,116.3292332,39.50384579
72,亦通72,9,729,马家堡东口,116.3719413,39.84887798
72,亦通72,10,7210,洋桥东,116.3933335,39.86343343
72,亦通72,11,7211,木樨园桥西,116.4101938,39.86042553
72,亦通72,12,7212,木樨园桥北 ,116.4101938,39.86042553
72,亦通72,13,7213,沙子口 ,116.4075887,39.87203238
72,亦通72,14,7214,永定门内,116.2609594,40.21054622
72,亦通72,15,7215,先农坛,116.3993362,39.88330167
72,亦通72,16,7216,天坛西门 ,116.4055475,39.89553541
72,亦通72,17,7217,天桥,116.4134546,39.9001677
72,亦通72,18,7218,天桥路口东,116.3222474,40.26180791
72,亦通72,19,7219,金鱼池,116.4131275,39.89589218
72,亦通72,20,7220,天坛北门,116.4190556,39.89427341
72,亦通72,21,7221,红桥路口西,115.9435485,39.95343898
72,亦通72,22,7222,法华寺 ,116.4302925,39.89377795
72,亦通72,23,7223,北京体育馆西,116.4332233,39.88832282
72,亦通72,24,7224,北京体育馆,116.4332233,39.88832282
72,亦通72,25,7225,光明楼,116.4439658,39.89236319
72,亦通72,26,7226,光明桥东,116.4133837,39.91092455
72,亦通72,27,7227,劲松中街,116.4628479,39.89037736
72,亦通72,28,7228,劲松桥北 ,116.4679598,39.89002
72,亦通72,29,7229,双井桥南 ,116.4679633,39.89917626
72,亦通72,30,7230,双井桥北,116.4679633,39.89917626
72,亦通72,31,7231,大北窑南,116.4133837,39.91092455
